交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
113,235,G7418/2,933,1034,黄山北,合肥
113,308,D5663,1064,1175,合肥,安庆
113,309,D5664,1195,1300,安庆,合肥
114,195,G7301,395,460,上海,杭州
114,196,G7302,478,543,杭州,上海
114,98,G7042,605,726,上海,南京
114,99,G7053,790,915,南京,上海
115,198,G7317/20,694,837,上海,宜兴
115,199,G7319/8,863,1019,宜兴,上海
115,76,G7208,1041,1075,上海,苏州
115,77,G7207,1106,1147,苏州,上海
116,213,G7379,667,779,杭州,丽水
116,214,G7380,799,916,丽水,杭州
116,187,G7360,937,1041,杭州,上海
116,188,G7359,1074,1171,上海,杭州
117,218,DJ7725,287,333,上海,杭州
117,261,G7556,408,483,杭州,上海
117,42,G7206,505,546,上海,苏州
117,43,G7205,564,603,苏州,上海
118,218,DJ7725,287,333,上海,杭州
118,184,G7358,370,456,杭州,上海
118,259,G7549,490,622,上海,宁波
118,174,G7510,684,807,宁波,上海
119,218,DJ7725,287,333,上海,杭州
119,219,G7361,350,444,杭州,江山
119,220,G7364,459,636,江山,上海
120,218,DJ7725,287,333,上海,杭州
120,202,G7327,381,406,杭州,诸暨
120,203,G7328,423,448,诸暨,杭州
120,196,G7302,478,543,杭州,上海
120,177,G7351,578,667,上海,杭州
120,178,G7304,690,759,杭州,上海
121,222,DJ7698,306,374,上海,南京
121,49,G7037,400,538,南京,上海
121,50,G7202,557,610,上海,无锡
121,51,G7201,630,691,无锡,上海
122,223,G7507,496,728,南京,宁波
122,224,G7512,748,872,宁波,上海
122,133,G7100,885,1011,上海,南京
123,232,G7413,470,571,合肥,黄山北
123,233,G7414,593,701,黄山北,合肥
123,326,G9503,747,851,合肥,安庆
123,327,G9504,871,973,安庆,合肥
124,234,G7417/2,785,893,合肥,黄山北
124,192,G7418,933,1034,黄山北,合肥
124,240,G7427,1083,1193,合肥,安庆
124,241,G7428,1219,1315,安庆,合肥
125,242,G7461,664,884,上海,温州南
125,243,G7464,904,1047,温州南,杭州
125,210,G7312,1080,1140,杭州,上海
126,255,G7509,658,773,上海,宁波
126,256,G7514,794,920,宁波,上海
126,56,G7052,939,1064,上海,南京
126,12,G7023,1080,1179,南京,上海
127,266,D5522/3,800,952,南京,南通
127,267,D5534/1,972,1121,南通,南京
127,340,D9519,1135,1178,南京,芜湖
127,341,D9520,1200,1237,芜湖,南京
128,272,D5562/3,331,380,南京,扬州
128,273,D5564/1,405,457,扬州,南京
128,274,D5506/7,480,635,南京,南通
128,275,D5518/5,655,807,南通,南京
129,282,D5651,411,517,合肥,安庆
129,283,D5654,537,648,安庆,合肥
129,284,D5657,680,785,合肥,安庆
129,285,D5658,811,916,安庆,合肥
130,288,DJ8698,312,402,合肥,南京
130,289,D5641,420,463,南京,芜湖
130,83,G7150/47,498,664,芜湖,上海
130,144,G7264/5,677,852,上海,合肥
131,289,D5641,420,463,南京,芜湖
131,290,D5642,482,525,芜湖,南京
131,268,D5512/3,555,698,南京,南通
131,269,D5524/1,714,862,南通,南京
132,296,D5653,438,544,合肥,安庆
132,297,D5602,577,697,安庆,南京
132,298,D5603,715,841,南京,安庆
132,327,G9504,871,973,安庆,合肥
133,298,D5603,715,841,南京,安庆
133,299,D5606,860,992,安庆,南京
133,25,G7021,1020,1121,南京,上海
133,27,G7026,1140,1240,上海,南京
134,302,DJ8697,300,390,南京,安庆
134,303,D5652,411,522,安庆,合肥
134,304,D5655,542,647,合肥,安庆
134,292,D5604,688,808,安庆,南京
135,306,D5659,803,908,合肥,安庆
135,307,D5660,936,1041,安庆,合肥
135,286,D5662,1082,1187,合肥,安庆
135,287,D5665,1225,1331,安庆,合肥
136,326,G9503,747,851,合肥,安庆
136,327,G9504,871,973,安庆,合肥
136,328,G9505,1005,1118,合肥,安庆
136,329,G9506,1138,1233,安庆,合肥
137,332,D9511,620,663,南京,芜湖
137,333,D9512,683,726,芜湖,南京
137,135,G7229,779,902,南京,上海
137,136,G7218/9,929,1073,上海,芜湖
137,137,D5644,1095,1132,芜湖,南京
138,334,D9513,745,782,南京,芜湖
138,335,D9514,805,848,芜湖,南京
138,75,G7057,867,988,南京,上海
138,33,G7056,1046,1165,上海,南京
